R_mean,R_std,R_var,R_min,R_max,R_median,G_mean,G_std,G_var,G_min,G_max,G_median,B_mean,B_std,B_var,B_min,B_max,B_median,LBP_mean,LBP_std,LBP_var,LBP_hist_0,LBP_hist_1,LBP_hist_2,LBP_hist_3,LBP_hist_4,LBP_hist_5,LBP_hist_6,LBP_hist_7,LBP_hist_8,LBP_hist_9,LBP_hist_10,LBP_hist_11,LBP_hist_12,LBP_hist_13,LBP_hist_14,LBP_hist_15,LBP_hist_16,LBP_hist_17,LBP_hist_18,LBP_hist_19,LBP_hist_20,LBP_hist_21,LBP_hist_22,LBP_hist_23,LBP_hist_24,LBP_hist_25,GLCM_contrast_mean,GLCM_contrast_std,GLCM_dissimilarity_mean,GLCM_dissimilarity_std,GLCM_homogeneity_mean,GLCM_homogeneity_std,GLCM_energy_mean,GLCM_energy_std,GLCM_correlation_mean,GLCM_correlation_std,GLCM_ASM_mean,GLCM_ASM_std,label,image_path
223.7639496448414,57.16719858604196,3268.088594175958,0,255,252.0,214.6908080737042,69.00264311035185,4761.364756214589,0,255,251.0,213.87149588578663,68.58571607784567,4704.000449910858,0,255,250.0,18.99545678317744,8.019372714712638,64.31033873747755,0.04112806807786606,0.03261832758979869,0.012799774948993882,0.01047893663406642,0.007328222800467926,0.007004712005053795,0.006807792390453889,0.008031507138324732,0.008594134608610178,0.010099163091623745,0.012054293550865666,0.020578099725690163,0.02578240382583053,0.04079049159569479,0.020367114424333123,0.028947183346186164,0.01699134960262045,0.02738589211614405,0.013953161263079045,0.013784373021993411,0.015542583866635427,0.020367114424333123,0.02921443139457175,0.028764329418343393,0.12916520149078112,0.4114213376462319,2109.834148836992,1071.940789089308,21.02613223291874,6.209229895045009,0.39050073683120456,0.027278068066962636,0.20539388253581828,0.009218710431609827,0.750941933657026,0.12608223166775556,0.0422716316051594,0.003797240221139796,Asli,/content/drive/MyDrive/DATASET MATERAI/Asli/Copy of CamScanner 04-09-25 09.36_2_aug_4.jpg
225.54923748567816,58.212423235488416,3388.6862189476315,0,255,254.0,218.70464422583066,68.31707067976008,4667.222146263334,0,255,253.0,217.8955789972739,68.13118987824757,4641.859034225823,0,255,252.0,19.736004108885464,7.446175978423711,55.44553670165431,0.03140926869737327,0.024722452688529965,0.010647544545839114,0.008118999644415354,0.006795464422576354,0.005620086128555153,0.005402789301089049,0.007032515507084832,0.0077436687606102644,0.009373394966606047,0.009936391292313681,0.017561534510669708,0.023576705780072323,0.0374145628382547,0.01864801864800023,0.02921654616566985,0.015121883765936626,0.028623918454398656,0.013403263403250164,0.012771127177894224,0.013926751214873053,0.01792698826595361,0.026016356524805405,0.023517443008945205,0.2463158310613505,0.349156493223945,1754.3661308477797,915.9955718361398,17.526231427978622,5.28348940493784,0.4980394653447891,0.023752122479546396,0.27814889090185974,0.008793540944948865,0.7927660955504122,0.10786209962918507,0.07744413187228515,0.004909094892657125,Asli,/content/drive/MyDrive/DATASET MATERAI/Asli/Copy of CamScanner 04-09-25 09.36_1_aug_3.jpg
223.2276109431043,55.38120320023012,3067.0776679051787,1,255,252.0,214.07975244391307,67.36224785089125,4537.672435524903,0,255,251.0,213.22213939095576,66.94292944092258,4481.35580213234,0,255,249.0,18.483648639144807,8.020338396748256,64.3258279983544,0.039116674871595584,0.028173570574543675,0.014164146564436087,0.010830578802994822,0.00967719248890966,0.008144032632381821,0.008200295379410366,0.009817849356481022,0.011716717068694399,0.013770307335236275,0.015978620156106647,0.025233842042302224,0.03747098952101066,0.04029819255919502,0.027118644067758466,0.029383219635657383,0.021056333075432792,0.026584147970987293,0.014501723046607354,0.015008087769864254,0.016344328011792187,0.022181588016003683,0.028300161755357902,0.026288768549087432,0.12262465714871282,0.3780153315980336,1777.7711952772763,949.5233758718006,19.837790306803722,6.03363497813269,0.38061871473429704,0.03078689021382895,0.18809127416835159,0.009654818608458784,0.7786541296559575,0.1178570697965053,0.035471542940636244,0.0036460243826260115,Asli,/content/drive/MyDrive/DATASET MATERAI/Asli/Copy of CamScanner 04-09-25 09.36_2_aug_1.jpg
224.92382758484453,60.78834487829629,3695.2228730426914,0,255,254.0,217.90835012445183,70.83734720893098,5017.929759598641,0,255,254.0,217.03599225633124,70.61627167372943,4986.657825097961,0,255,253.0,20.014213187942,7.650182406583632,58.52529085400173,0.03625893880127587,0.03321678321675041,0.010203073762385719,0.007407846390889921,0.005995417012360243,0.005126229702495826,0.004582987633830565,0.00597566275531787,0.007022638378563645,0.008030105487724674,0.008770890126813667,0.01453913318318662,0.018766544190254468,0.02775473114453424,0.014726798625089164,0.021729682746610437,0.01157599462683065,0.02036663901068669,0.010538896132106061,0.011121646714856069,0.012188376595144218,0.015526846035305275,0.022796412626898584,0.025008889415644376,0.2730334637111601,0.3677353719722969,2102.2852596837693,1027.6111582908288,18.903089066956174,5.436074686252352,0.49320199243351115,0.019866122531352722,0.2738487496443455,0.007668202703355542,0.769560149459047,0.11236408297105427,0.07505193901447119,0.004232094239597026,Asli,/content/drive/MyDrive/DATASET MATERAI/Asli/Copy of CamScanner 04-09-25 09.36_1_aug_2.jpg
220.19666350598553,61.86629883882707,3827.4389320150553,0,255,253.0,212.19447078345382,72.32864532767658,5231.432934936832,0,255,252.0,211.3985125044447,72.12776035833788,5202.413814309817,0,255,251.0,19.092746236814033,7.828450059053459,61.28463032709411,0.03712812611114029,0.027685591244885933,0.011941448382114554,0.010124056734216225,0.007714037375046705,0.007101655406733138,0.00623246809686872,0.008336296471881458,0.010005531191961988,0.012000711153241674,0.012889652720148463,0.02123582632055111,0.03111295484173767,0.036792303741419945,0.022509975899784176,0.027399154517771522,0.018262810635673952,0.02576942831177574,0.014983603966640014,0.01436134486980526,0.014716921496567977,0.019013472403284132,0.026529967207907106,0.023794002607538427,0.18599620718246415,0.366362451107852,1880.1455973515506,1025.790130173775,19.530091488878906,6.083434528181808,0.42586891036339386,0.027745459674117103,0.21137198589050418,0.009259635214231683,0.8017038963889537,0.1079427313488089,0.04476385726359613,0.003945605749799926,Asli,/content/drive/MyDrive/DATASET MATERAI/Asli/Copy of CamScanner 04-09-25 09.36_1_aug_1.jpg
224.35150724981233,61.175884500151696,3742.4888443759005,0,255,254.0,217.3157520445656,71.11032069733619,5056.677709678,0,255,253.0,216.5141242937853,70.92202363213977,5029.933436077791,0,255,252.0,19.833758049859746,7.632670860933827,58.257664471348335,0.03654537552839028,0.032989609260763116,0.00916597526766113,0.007091778278211952,0.005876891470106004,0.005096598316932266,0.004701513176084804,0.005550946228906848,0.006647307494758556,0.007625143218356026,0.008800521512377226,0.014509501797623059,0.01936904903004685,0.033750148156894484,0.01657382165855105,0.0284461301410173,0.013334123503601858,0.02795227371495797,0.011180909485983189,0.012119236695495911,0.012879775591627276,0.017156572241301057,0.025808936825860485,0.02720161194734779,0.22624550590629938,0.3833807435498564,2182.731591967918,1071.518434048075,19.62132613255076,5.679712952986643,0.4761695533754317,0.020805785511900102,0.2665413060768325,0.008302905665005805,0.7633313274055574,0.11578979629884464,0.07111320608762568,0.004455598863276168,Asli,/content/drive/MyDrive/DATASET MATERAI/Asli/Copy of CamScanner 04-09-25 09.36_1_original.jpg
223.0709754553766,57.587370102061875,3316.30519527185,0,255,252.0,213.69955693086715,69.64766750036712,4850.797588241695,0,255,251.0,212.831915043252,69.2363761130417,4793.6757772665715,0,255,250.0,18.994148674309024,8.06418583161259,65.03109312678124,0.04263309656087962,0.03091637949218522,0.013503059286850689,0.010788381742723414,0.008678528729152995,0.007370419860739334,0.006906252197753842,0.00800337576481046,0.009578732681609707,0.010056966031352336,0.012616921021151112,0.019691961459990588,0.02976299317810006,0.03613474927908273,0.020746887966775797,0.02593712638015903,0.015584780926906835,0.022814543920074808,0.01302482593710806,0.013995358323350453,0.01419227793795036,0.0189183486883481,0.027006118573701377,0.027442154863172596,0.16790210281993403,0.3857936563747299,2082.1179715716203,1071.1380801658345,20.95396475127753,6.264458178879218,0.39788408343823956,0.027182052592395776,0.23739756047871988,0.008245287009260855,0.7583592341534078,0.12389228616610147,0.056425586479112534,0.003923714635757605,Asli,/content/drive/MyDrive/DATASET MATERAI/Asli/Copy of CamScanner 04-09-25 09.36_2_aug_2.jpg
225.33426178341432,56.80891248351803,3227.2525375600103,1,255,253.0,218.43248982655763,67.02403290317783,4492.220986606263,0,255,253.0,217.58265181146538,66.83173950315818,4466.481405017992,0,255,252.0,19.27633242463751,7.350638328917955,54.031883842557754,0.02821895618503001,0.018292442021237514,0.010617913160275555,0.009047449725406892,0.00790170281694925,0.006884358579267034,0.006854727193703474,0.00809924538737298,0.009274623681394182,0.011141400971898441,0.013699577258885761,0.02105803800716975,0.03240685867801311,0.043854450634068336,0.02474220694557234,0.03576508237521654,0.019764134170894312,0.032713049662169896,0.01511200663741544,0.013808225672618813,0.01496384970959764,0.019122120817017182,0.026608984236076598,0.023290269052957915,0.2367448935243207,0.31001343289448263,1488.714436395916,820.7987165325281,16.466525259810485,5.167966628063404,0.502056651592312,0.027248789011869404,0.27669452429220365,0.009977367142084036,0.8167023548981757,0.100777652938779,0.07665940762837681,0.005530417325608765,Asli,/content/drive/MyDrive/DATASET MATERAI/Asli/Copy of CamScanner 04-09-25 09.36_1_aug_4.jpg
223.410310148393,55.23925823255726,3051.3756500831455,3,255,252.0,214.21910120261623,67.36377883083253,4537.878698369321,2,255,251.0,213.2890639285463,66.96061599013863,4483.724093778809,0,255,249.0,18.47502637316267,8.017397400515394,64.27866107779099,0.039412054293495445,0.02790632252615809,0.014107883817407543,0.011829242562751488,0.009184893452409896,0.00843941205428168,0.008017441451567596,0.011182220971923226,0.010549265067852101,0.013263942611979374,0.015036219143378526,0.024783740066073867,0.03689429636396808,0.040115338631352256,0.027934453899672362,0.029495745129714472,0.020859413460832886,0.02706238132072992,0.015739503481235335,0.015500386806364019,0.016639707433692048,0.020465574231633074,0.028834657852129075,0.025712075392044852,0.13218932414356538,0.3688445038323808,1754.2533695404545,937.472177006843,19.611536278933528,5.948966208056765,0.38334789867811564,0.030922691182962782,0.18461108751262026,0.009300185892949616,0.7813629441285324,0.11646448423441937,0.03416774709023577,0.0034479482910903525,Asli,/content/drive/MyDrive/DATASET MATERAI/Asli/Copy of CamScanner 04-09-25 09.36_2_aug_3.jpg
224.55265497214648,57.470726470219695,3302.884401014811,1,255,253.0,217.27429773616214,68.05077413949849,4630.907860985037,0,255,253.0,216.3665995021927,67.84029824134227,4602.306065474267,0,255,252.0,19.337995337995338,7.361814710141574,54.19631582645687,0.027567065702631694,0.018292442021237514,0.0106574216743603,0.009758602978932324,0.007881948559906876,0.0073189522341992426,0.007230058077508563,0.008306665086317899,0.009037572596885705,0.012148868081059472,0.013047686776487448,0.02189759393147061,0.03105369207061055,0.044200150132309865,0.02217415353006383,0.033206906088229224,0.01794674252299598,0.03122160325547072,0.014381099126847634,0.013709454387406948,0.014094662399733223,0.017936865394474796,0.02439650744733081,0.02119631780646636,0.26280075856321083,0.29853620955286386,1448.0855371914715,810.035241172251,16.21711152507682,5.127592859920182,0.5050498976911542,0.02798461270461041,0.2735586263129903,0.009624148253876256,0.8266536925856766,0.09670455389360576,0.07492694625986286,0.005278136664696498,Asli,/content/drive/MyDrive/DATASET MATERAI/Asli/Copy of CamScanner 04-09-25 09.36_1_aug_5.jpg
